
Начало новой программы
[20 ноября 2018 | 10:41:48][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:48][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:48][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:48][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:48][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:49][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:49][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:49][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:49][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:50][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:50][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:50][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:50][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:50][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:51][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:51][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:51][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:52][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:52][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:52][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:52][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:53][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:53][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:54][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:54][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:54][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:41:57][Robot]-Робот взял деталь
[20 ноября 2018 | 10:41:57][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:58][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:58][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:58][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:58][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:58][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:59][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:59][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:59][Robot]-Робот прошел назад
[20 ноября 2018 | 10:41:59][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:02][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:02][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:02][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:08][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:08][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:08][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:08][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:08][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:09][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:09][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:10][Robot]-Робот повернулся на лево
[20 ноября 2018 | 10:42:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:18][Robot]-Робот упаковал деталь
[20 ноября 2018 | 10:42:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:29][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:29][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:29][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:30][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:30][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:30][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:30][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:30][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:31][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:31][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:31][Robot]-Робот повернулся на лево
[20 ноября 2018 | 10:42:31][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:31][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:33][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:33][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:33][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:33][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:34][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:34][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:35][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:35][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:35][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:42:35][Robot]-Робот погрузил деталь
[20 ноября 2018 | 10:42:38][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:38][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:38][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:38][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:39][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:39][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:39][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:39][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:39][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:40][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:40][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:40][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:41][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:41][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:41][Robot]-Робот прошел назад
[20 ноября 2018 | 10:42:42][Robot]-Робот повернулся на право
[20 ноября 2018 | 10:42:42][Robot]-Робот повернулся на право

Начало новой программы
[20 ноября 2018 | 10:44:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:18][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:19][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:19][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:19][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:19][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:19][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:20][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:20][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:20][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:20][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:21][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:21][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:21][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:21][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:21][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:22][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:22][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:22][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:22][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:22][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:44:23][Robot]-Робот взял деталь
[20 ноября 2018 | 10:44:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:28][Robot]-Робот прошел назад
